cancer_type	n	1p	1q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	20p	20q	21q	22q	Xp	Xq
Leiomyosarcoma	62	-0.3870967741935484	-0.25806451612903225	-0.4838709677419355	-0.46774193548387094	-0.27419354838709675	-0.20967741935483872	-0.25806451612903225	-0.41935483870967744	0.0	-0.1774193548387097	-0.43548387096774194	-0.3387096774193548	-0.3225806451612903	-0.27419354838709675	-0.25806451612903225	-0.1774193548387097	-0.46774193548387094	-0.1774193548387097	-0.4838709677419355	-0.7580645161290323	-0.41935483870967744	-0.5645161290322581	-0.2903225806451613	-0.43548387096774194	-0.5483870967741935	-0.3709677419354839	-0.12903225806451613	-0.2903225806451613	-0.7258064516129032	-0.27419354838709675	-0.20967741935483872	-0.24193548387096775	-0.3709677419354839	-0.016129032258064516	-0.4032258064516129	-0.24193548387096775	-0.1935483870967742	-0.3064516129032258	-0.3225806451612903	-0.4838709677419355	-0.6290322580645161
Liposarcoma	42	-0.09523809523809523	-0.21428571428571427	-0.11904761904761904	-0.21428571428571427	-0.16666666666666666	-0.2619047619047619	-0.14285714285714285	-0.2857142857142857	0.023809523809523808	-0.16666666666666666	-0.16666666666666666	-0.16666666666666666	-0.047619047619047616	-0.07142857142857142	-0.11904761904761904	0.09523809523809523	-0.2857142857142857	0.09523809523809523	-0.14285714285714285	-0.14285714285714285	-0.35714285714285715	-0.38095238095238093	-0.21428571428571427	-0.2619047619047619	-0.42857142857142855	-0.23809523809523808	-0.2857142857142857	-0.11904761904761904	-0.30952380952380953	-0.09523809523809523	-0.09523809523809523	-0.16666666666666666	-0.30952380952380953	0.047619047619047616	-0.16666666666666666	-0.16666666666666666	0.047619047619047616	-0.2619047619047619	-0.21428571428571427	-0.6428571428571429	-0.7142857142857143
Lung adenocarcinoma	291	-0.4570446735395189	0.1718213058419244	-0.24742268041237114	-0.3333333333333333	-0.6529209621993127	-0.3024054982817869	-0.47079037800687284	-0.5189003436426117	0.26804123711340205	-0.4020618556701031	-0.2542955326460481	-0.6323024054982818	0.2268041237113402	-0.13402061855670103	-0.7216494845360825	0.13402061855670103	-0.6941580756013745	-0.6323024054982818	-0.40893470790378006	-0.5601374570446735	-0.3951890034364261	-0.20962199312714777	-0.38831615120274915	-0.3745704467353952	-0.5979381443298969	-0.2508591065292096	-0.5567010309278351	-0.21993127147766323	-0.44329896907216493	-0.7216494845360825	-0.07903780068728522	-0.4639175257731959	-0.6632302405498282	-0.6529209621993127	-0.4329896907216495	-0.38144329896907214	-0.1134020618556701	-0.43986254295532645	-0.47766323024054985	-0.7147766323024055	-0.6151202749140894
Lung squamous cell carcinoma	81	-0.7037037037037037	-0.13580246913580246	-0.18518518518518517	-0.48148148148148145	-0.9259259259259259	0.35802469135802467	-0.7407407407407407	-0.7901234567901234	0.37037037037037035	-0.8148148148148148	-0.4567901234567901	-0.5061728395061729	-0.2839506172839506	-0.2222222222222222	-0.8518518518518519	-0.012345679012345678	-0.6666666666666666	-0.6790123456790124	-0.5555555555555556	-0.7037037037037037	-0.5679012345679012	-0.5432098765432098	-0.19753086419753085	-0.49382716049382713	-0.7160493827160493	-0.5432098765432098	-0.5061728395061729	-0.5432098765432098	-0.6172839506172839	-0.7901234567901234	-0.2345679012345679	-0.35802469135802467	-0.5925925925925926	-0.49382716049382713	-0.2222222222222222	-0.09876543209876543	-0.16049382716049382	-0.6172839506172839	-0.2962962962962963	-0.8518518518518519	-0.8271604938271605
Ovarian serous adenocarcinoma	214	-0.397196261682243	0.004672897196261682	-0.21495327102803738	-0.32710280373831774	-0.4532710280373832	0.16355140186915887	-0.5467289719626168	-0.719626168224299	0.04672897196261682	-0.5467289719626168	-0.26635514018691586	-0.616822429906542	-0.37383177570093457	-0.10747663551401869	-0.6542056074766355	0.11214953271028037	-0.5186915887850467	-0.5700934579439252	-0.1542056074766355	-0.4158878504672897	-0.5607476635514018	-0.29439252336448596	-0.08411214953271028	-0.38317757009345793	-0.6728971962616822	-0.5046728971962616	-0.5747663551401869	-0.4672897196261682	-0.7616822429906542	-0.8037383177570093	-0.49065420560747663	-0.4439252336448598	-0.6588785046728972	-0.4672897196261682	-0.48598130841121495	-0.04672897196261682	0.1588785046728972	-0.397196261682243	-0.7009345794392523	-0.6962616822429907	-0.6355140186915887
Pancreas carcinoma	317	-0.416403785488959	0.12302839116719243	-0.21766561514195584	-0.10410094637223975	-0.5394321766561514	-0.10094637223974763	-0.4195583596214511	-0.4227129337539432	-0.10725552050473186	-0.3280757097791798	-0.4353312302839117	-0.6246056782334385	0.06624605678233439	-0.11987381703470032	-0.5867507886435331	0.0473186119873817	-0.6876971608832808	-0.3722397476340694	-0.38485804416403785	-0.3186119873817035	-0.24921135646687698	-0.2113564668769716	-0.1167192429022082	-0.3501577287066246	-0.2082018927444795	-0.31545741324921134	-0.3501577287066246	-0.19558359621451105	-0.17350157728706625	-0.8548895899053628	-0.26498422712933756	-0.1892744479495268	-0.8643533123028391	-0.4227129337539432	-0.15141955835962145	-0.24290220820189273	0.08517350157728706	-0.49842271293375395	-0.45110410094637227	-0.7192429022082019	-0.6908517350157729
Pancreas neuroendocrine	113	-0.6814159292035398	-0.5575221238938053	-0.584070796460177	-0.6106194690265486	-0.6637168141592921	-0.6371681415929203	-0.22123893805309736	-0.25663716814159293	-0.035398230088495575	-0.08849557522123894	-0.6548672566371682	-0.6991150442477876	-0.061946902654867256	-0.10619469026548672	-0.4778761061946903	-0.4424778761061947	-0.3185840707964602	-0.23893805309734514	-0.6194690265486725	-0.6460176991150443	-0.7876106194690266	-0.7876106194690266	-0.1592920353982301	-0.1504424778761062	-0.168141592920354	-0.13274336283185842	-0.48672566371681414	-0.6283185840707964	-0.672566371681416	-0.3185840707964602	-0.19469026548672566	-0.2831858407079646	-0.3274336283185841	-0.168141592920354	-0.1415929203539823	-0.18584070796460178	-0.17699115044247787	-0.5132743362831859	-0.6637168141592921	-0.8407079646017699	-0.8495575221238938
Prostate carcinoma	553	-0.28390596745027125	0.081374321880651	-0.14466546112115733	-0.2206148282097649	-0.0379746835443038	0.11211573236889692	-0.27124773960216997	-0.21338155515370705	-0.0018083182640144665	-0.22784810126582278	-0.19529837251356238	-0.3435804701627486	0.11934900542495479	0.12477396021699819	-0.6654611211573237	0.4484629294755877	-0.15913200723327306	-0.02531645569620253	-0.2332730560578662	-0.2766726943942134	-0.1717902350813743	-0.10849909584086799	-0.20614828209764918	-0.0108499095840868	-0.4376130198915009	-0.14466546112115733	-0.29294755877034356	-0.0162748643761302	-0.4430379746835443	-0.39059674502712477	-0.09945750452079566	-0.14647377938517178	-0.36347197106690776	-0.20253164556962025	-0.1518987341772152	-0.10669077757685352	0.027124773960216998	-0.14647377938517178	-0.321880650994575	-0.8661844484629295	-0.9349005424954792
Skin melanoma	407	-0.24815724815724816	0.19901719901719903	-0.2628992628992629	-0.25307125307125306	-0.20884520884520885	-0.23832923832923833	-0.22113022113022113	-0.29484029484029484	-0.27764127764127766	-0.36609336609336607	0.24815724815724816	-0.601965601965602	0.20393120393120392	0.27764127764127766	-0.24078624078624078	0.2702702702702703	-0.6633906633906634	-0.5036855036855037	-0.5724815724815725	-0.6683046683046683	-0.3464373464373464	-0.4643734643734644	-0.20393120393120392	-0.343980343980344	-0.20147420147420148	-0.3488943488943489	-0.20884520884520885	-0.2702702702702703	-0.4176904176904177	-0.4668304668304668	-0.15724815724815724	-0.2285012285012285	-0.257985257985258	-0.3071253071253071	-0.24324324324324326	0.03194103194103194	0.24078624078624078	-0.22358722358722358	-0.06142506142506143	-0.7862407862407862	-0.7813267813267813
Stomach carcinoma	98	-0.47959183673469385	-0.09183673469387756	-0.30612244897959184	-0.32653061224489793	-0.5816326530612245	-0.22448979591836735	-0.6020408163265306	-0.6428571428571429	-0.09183673469387756	-0.5816326530612245	-0.29591836734693877	-0.3469387755102041	0.20408163265306123	-0.14285714285714285	-0.47959183673469385	0.14285714285714285	-0.5714285714285714	-0.45918367346938777	-0.30612244897959184	-0.42857142857142855	-0.4489795918367347	-0.336734693877551	-0.3469387755102041	-0.42857142857142855	-0.16326530612244897	-0.5612244897959183	-0.41836734693877553	-0.29591836734693877	-0.3877551020408163	-0.6122448979591837	-0.30612244897959184	-0.19387755102040816	-0.6632653061224489	-0.6428571428571429	-0.2653061224489796	0.04081632653061224	0.37755102040816324	-0.5	-0.5510204081632653	-0.7653061224489796	-0.7755102040816326
Thyroid carcinoma	66	-0.18181818181818182	-0.015151515151515152	-0.07575757575757576	-0.09090909090909091	-0.15151515151515152	-0.16666666666666666	-0.09090909090909091	-0.15151515151515152	0.030303030303030304	-0.045454545454545456	-0.09090909090909091	-0.10606060606060606	0.015151515151515152	0.015151515151515152	-0.13636363636363635	-0.09090909090909091	-0.24242424242424243	-0.24242424242424243	-0.06060606060606061	-0.07575757575757576	-0.12121212121212122	-0.13636363636363635	0.0	-0.045454545454545456	-0.18181818181818182	-0.09090909090909091	-0.07575757575757576	-0.015151515151515152	-0.030303030303030304	-0.07575757575757576	-0.09090909090909091	-0.07575757575757576	-0.07575757575757576	-0.06060606060606061	-0.030303030303030304	-0.045454545454545456	-0.030303030303030304	-0.12121212121212122	-0.18181818181818182	-0.45454545454545453	-0.45454545454545453
Upper respiratory tract carcinoma	88	-0.3068181818181818	-0.10227272727272728	-0.2159090909090909	-0.32954545454545453	-0.6590909090909091	0.29545454545454547	-0.4318181818181818	-0.4318181818181818	0.1590909090909091	-0.36363636363636365	-0.26136363636363635	-0.38636363636363635	0.09090909090909091	-0.22727272727272727	-0.4090909090909091	0.2727272727272727	-0.32954545454545453	-0.20454545454545456	-0.36363636363636365	-0.4090909090909091	-0.3181818181818182	-0.5340909090909091	-0.045454545454545456	-0.2840909090909091	-0.5	-0.2159090909090909	-0.2840909090909091	-0.2159090909090909	-0.29545454545454547	-0.4090909090909091	-0.18181818181818182	-0.13636363636363635	-0.4431818181818182	-0.3977272727272727	-0.3181818181818182	-0.03409090909090909	-0.011363636363636364	-0.38636363636363635	-0.2159090909090909	-0.8977272727272727	-0.875
Uterus carcinoma	74	-0.35135135135135137	0.2702702702702703	-0.10810810810810811	-0.20270270270270271	-0.3783783783783784	0.05405405405405406	-0.40540540540540543	-0.4594594594594595	0.0	-0.3108108108108108	-0.1891891891891892	-0.2702702702702703	-0.16216216216216217	-0.17567567567567569	-0.33783783783783783	0.16216216216216217	-0.40540540540540543	-0.5675675675675675	-0.1891891891891892	-0.22972972972972974	-0.40540540540540543	-0.4189189189189189	-0.20270270270270271	-0.25675675675675674	-0.3918918918918919	-0.35135135135135137	-0.5405405405405406	-0.3783783783783784	-0.5945945945945946	-0.5945945945945946	-0.33783783783783783	-0.32432432432432434	-0.43243243243243246	-0.35135135135135137	-0.3108108108108108	-0.16216216216216217	0.05405405405405406	-0.3918918918918919	-0.4189189189189189	-0.3918918918918919	-0.3783783783783784
