cancer_type	n	1p	1q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	20p	20q	21q	22q	Xp	Xq
Leiomyosarcoma	47	-0.3191489361702128	-0.23404255319148937	-0.5531914893617021	-0.5106382978723404	-0.2765957446808511	-0.14893617021276595	-0.2127659574468085	-0.40425531914893614	0.0425531914893617	-0.1702127659574468	-0.40425531914893614	-0.3191489361702128	-0.3404255319148936	-0.2978723404255319	-0.23404255319148937	-0.1702127659574468	-0.46808510638297873	-0.10638297872340426	-0.5319148936170213	-0.7659574468085106	-0.3617021276595745	-0.5957446808510638	-0.3191489361702128	-0.425531914893617	-0.48936170212765956	-0.3404255319148936	-0.06382978723404255	-0.2765957446808511	-0.7021276595744681	-0.2553191489361702	-0.1702127659574468	-0.23404255319148937	-0.40425531914893614	0.0851063829787234	-0.3404255319148936	-0.2765957446808511	-0.19148936170212766	-0.2765957446808511	-0.2765957446808511	-0.44680851063829785	-0.6170212765957447
Liposarcoma	25	-0.04	-0.16	-0.16	-0.2	-0.12	-0.16	-0.04	-0.2	-0.04	-0.12	-0.04	-0.2	0.0	-0.04	-0.04	0.12	-0.24	0.08	-0.12	-0.16	-0.28	-0.28	-0.16	-0.12	-0.36	-0.16	-0.32	-0.08	-0.24	-0.08	-0.04	-0.16	-0.2	-0.04	-0.08	-0.12	0.08	-0.2	-0.12	-0.56	-0.64
Lung adenocarcinoma	255	-0.48627450980392156	0.13725490196078433	-0.27058823529411763	-0.3607843137254902	-0.6666666666666666	-0.3137254901960784	-0.48627450980392156	-0.5294117647058824	0.28627450980392155	-0.4117647058823529	-0.28627450980392155	-0.6588235294117647	0.23921568627450981	-0.13725490196078433	-0.7529411764705882	0.13725490196078433	-0.7176470588235294	-0.6588235294117647	-0.4235294117647059	-0.5725490196078431	-0.41568627450980394	-0.21176470588235294	-0.4196078431372549	-0.38823529411764707	-0.6274509803921569	-0.25098039215686274	-0.5647058823529412	-0.21568627450980393	-0.44313725490196076	-0.7490196078431373	-0.09019607843137255	-0.49019607843137253	-0.6980392156862745	-0.6392156862745098	-0.4235294117647059	-0.4	-0.12549019607843137	-0.45098039215686275	-0.47058823529411764	-0.7254901960784313	-0.611764705882353
Lung squamous cell carcinoma	34	-0.6176470588235294	-0.2647058823529412	-0.23529411764705882	-0.35294117647058826	-0.8823529411764706	0.29411764705882354	-0.7352941176470589	-0.7058823529411765	0.38235294117647056	-0.7058823529411765	-0.35294117647058826	-0.47058823529411764	-0.20588235294117646	-0.14705882352941177	-0.7941176470588235	0.058823529411764705	-0.7058823529411765	-0.6764705882352942	-0.4117647058823529	-0.5882352941176471	-0.47058823529411764	-0.47058823529411764	-0.23529411764705882	-0.5294117647058824	-0.5588235294117647	-0.4411764705882353	-0.5	-0.5	-0.6470588235294118	-0.7647058823529411	-0.23529411764705882	-0.20588235294117646	-0.6470588235294118	-0.47058823529411764	0.0	-0.08823529411764706	-0.2647058823529412	-0.6764705882352942	-0.47058823529411764	-0.7941176470588235	-0.7941176470588235
Ovarian serous adenocarcinoma	104	-0.49038461538461536	0.0	-0.2403846153846154	-0.34615384615384615	-0.38461538461538464	0.17307692307692307	-0.5096153846153846	-0.6538461538461539	-0.019230769230769232	-0.5192307692307693	-0.3269230769230769	-0.5961538461538461	-0.34615384615384615	-0.20192307692307693	-0.5865384615384616	0.18269230769230768	-0.5384615384615384	-0.5673076923076923	-0.15384615384615385	-0.4519230769230769	-0.5480769230769231	-0.36538461538461536	-0.10576923076923077	-0.3269230769230769	-0.6153846153846154	-0.47115384615384615	-0.5673076923076923	-0.4423076923076923	-0.7307692307692307	-0.6923076923076923	-0.40384615384615385	-0.4423076923076923	-0.6153846153846154	-0.41346153846153844	-0.46153846153846156	-0.0673076923076923	0.20192307692307693	-0.34615384615384615	-0.6442307692307693	-0.6826923076923077	-0.6153846153846154
Pancreas carcinoma	99	-0.5454545454545454	-0.0707070707070707	-0.29292929292929293	-0.15151515151515152	-0.5757575757575758	-0.08080808080808081	-0.5454545454545454	-0.5252525252525253	-0.16161616161616163	-0.3939393939393939	-0.5252525252525253	-0.6464646464646465	0.0	-0.2222222222222222	-0.6666666666666666	0.04040404040404041	-0.6363636363636364	-0.3838383838383838	-0.4444444444444444	-0.3333333333333333	-0.30303030303030304	-0.20202020202020202	0.030303030303030304	-0.36363636363636365	-0.43434343434343436	-0.41414141414141414	-0.37373737373737376	-0.31313131313131315	-0.30303030303030304	-0.8585858585858586	-0.3434343434343434	-0.32323232323232326	-0.797979797979798	-0.5252525252525253	-0.2222222222222222	-0.3333333333333333	0.04040404040404041	-0.5858585858585859	-0.494949494949495	-0.7878787878787878	-0.7676767676767676
Pancreas neuroendocrine	34	-0.8529411764705882	-0.5882352941176471	-0.6764705882352942	-0.6764705882352942	-0.8235294117647058	-0.7352941176470589	-0.35294117647058826	-0.4117647058823529	-0.08823529411764706	-0.20588235294117646	-0.7058823529411765	-0.7647058823529411	-0.11764705882352941	-0.17647058823529413	-0.5294117647058824	-0.4117647058823529	-0.4411764705882353	-0.3235294117647059	-0.7058823529411765	-0.7647058823529411	-0.7647058823529411	-0.7647058823529411	-0.11764705882352941	-0.14705882352941177	-0.17647058823529413	-0.20588235294117646	-0.5	-0.7352941176470589	-0.8235294117647058	-0.4411764705882353	-0.17647058823529413	-0.29411764705882354	-0.4117647058823529	-0.35294117647058826	-0.29411764705882354	-0.29411764705882354	-0.20588235294117646	-0.6470588235294118	-0.7647058823529411	-0.8529411764705882	-0.8529411764705882
Prostate carcinoma	400	-0.385	0.105	-0.2	-0.3025	-0.0575	0.1375	-0.3625	-0.29	-0.0075	-0.3	-0.2675	-0.4375	0.1325	0.15	-0.76	0.5725	-0.2175	-0.0475	-0.3	-0.3675	-0.2325	-0.145	-0.2575	-0.015	-0.5475	-0.1975	-0.4025	-0.03	-0.5675	-0.4975	-0.1375	-0.1725	-0.4525	-0.265	-0.2	-0.1425	0.03	-0.19	-0.43	-0.82	-0.91
Skin melanoma	303	-0.24092409240924093	0.22772277227722773	-0.2739273927392739	-0.26732673267326734	-0.20132013201320131	-0.22772277227722773	-0.2079207920792079	-0.27722772277227725	-0.25412541254125415	-0.36303630363036304	0.23432343234323433	-0.5874587458745875	0.2145214521452145	0.29042904290429045	-0.20132013201320131	0.2739273927392739	-0.66996699669967	-0.5016501650165016	-0.5445544554455446	-0.6336633663366337	-0.33663366336633666	-0.44884488448844884	-0.19141914191419143	-0.32673267326732675	-0.21122112211221122	-0.31683168316831684	-0.17491749174917492	-0.23432343234323433	-0.38943894389438943	-0.42574257425742573	-0.10231023102310231	-0.23432343234323433	-0.264026402640264	-0.22772277227722773	-0.20462046204620463	0.013201320132013201	0.22442244224422442	-0.21122112211221122	-0.052805280528052806	-0.7557755775577558	-0.7458745874587459
Stomach carcinoma	43	-0.6046511627906976	-0.20930232558139536	-0.4883720930232558	-0.4418604651162791	-0.7441860465116279	-0.3023255813953488	-0.6744186046511628	-0.7441860465116279	-0.09302325581395349	-0.627906976744186	-0.37209302325581395	-0.4186046511627907	0.23255813953488372	-0.2558139534883721	-0.6744186046511628	-0.11627906976744186	-0.7674418604651163	-0.6744186046511628	-0.3488372093023256	-0.5813953488372093	-0.5116279069767442	-0.37209302325581395	-0.4186046511627907	-0.5348837209302325	-0.32558139534883723	-0.6511627906976745	-0.5348837209302325	-0.3488372093023256	-0.3953488372093023	-0.6511627906976745	-0.3953488372093023	-0.16279069767441862	-0.7441860465116279	-0.7441860465116279	-0.27906976744186046	-0.16279069767441862	0.11627906976744186	-0.5813953488372093	-0.6976744186046512	-0.813953488372093	-0.8604651162790697
Thyroid carcinoma	22	-0.5454545454545454	-0.09090909090909091	-0.22727272727272727	-0.2727272727272727	-0.45454545454545453	-0.5	-0.2727272727272727	-0.45454545454545453	0.045454545454545456	-0.18181818181818182	-0.2727272727272727	-0.3181818181818182	0.0	0.0	-0.4090909090909091	-0.3181818181818182	-0.6818181818181818	-0.5909090909090909	-0.18181818181818182	-0.18181818181818182	-0.3181818181818182	-0.36363636363636365	0.0	-0.13636363636363635	-0.5454545454545454	-0.2727272727272727	-0.22727272727272727	-0.09090909090909091	-0.13636363636363635	-0.18181818181818182	-0.2727272727272727	-0.22727272727272727	-0.22727272727272727	-0.18181818181818182	-0.09090909090909091	-0.18181818181818182	-0.13636363636363635	-0.36363636363636365	-0.45454545454545453	-0.8181818181818182	-0.8181818181818182
Upper respiratory tract carcinoma	38	-0.3684210526315789	0.07894736842105263	-0.15789473684210525	-0.2631578947368421	-0.6578947368421053	0.42105263157894735	-0.5	-0.42105263157894735	0.15789473684210525	-0.2631578947368421	-0.23684210526315788	-0.3684210526315789	0.13157894736842105	-0.07894736842105263	-0.5263157894736842	0.21052631578947367	-0.42105263157894735	-0.18421052631578946	-0.2894736842105263	-0.3684210526315789	-0.34210526315789475	-0.4473684210526316	0.07894736842105263	-0.21052631578947367	-0.5526315789473685	-0.3684210526315789	-0.34210526315789475	-0.18421052631578946	-0.2631578947368421	-0.5	-0.10526315789473684	-0.10526315789473684	-0.4473684210526316	-0.39473684210526316	-0.2894736842105263	-0.02631578947368421	-0.05263157894736842	-0.3157894736842105	-0.23684210526315788	-0.8421052631578947	-0.868421052631579
Uterus carcinoma	32	-0.5	0.34375	-0.25	-0.34375	-0.5	-0.125	-0.53125	-0.59375	-0.15625	-0.34375	-0.3125	-0.53125	-0.09375	-0.15625	-0.28125	0.21875	-0.53125	-0.625	-0.0625	-0.25	-0.46875	-0.5625	-0.3125	-0.34375	-0.5	-0.34375	-0.5625	-0.4375	-0.53125	-0.5625	-0.3125	-0.5	-0.59375	-0.53125	-0.375	-0.25	-0.03125	-0.46875	-0.53125	-0.46875	-0.40625
