cancer_type	n	1p	1q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	20p	20q	21q	22q	Xp	Xq
Leiomyosarcoma	15	-0.6	-0.3333333333333333	-0.26666666666666666	-0.3333333333333333	-0.26666666666666666	-0.4	-0.4	-0.4666666666666667	-0.13333333333333333	-0.2	-0.5333333333333333	-0.4	-0.26666666666666666	-0.2	-0.3333333333333333	-0.2	-0.4666666666666667	-0.4	-0.3333333333333333	-0.7333333333333333	-0.6	-0.4666666666666667	-0.2	-0.4666666666666667	-0.7333333333333333	-0.4666666666666667	-0.3333333333333333	-0.3333333333333333	-0.8	-0.3333333333333333	-0.3333333333333333	-0.26666666666666666	-0.26666666666666666	-0.3333333333333333	-0.6	-0.13333333333333333	-0.2	-0.4	-0.4666666666666667	-0.6	-0.6666666666666666
Liposarcoma	17	-0.17647058823529413	-0.29411764705882354	-0.058823529411764705	-0.23529411764705882	-0.23529411764705882	-0.4117647058823529	-0.29411764705882354	-0.4117647058823529	0.11764705882352941	-0.23529411764705882	-0.35294117647058826	-0.11764705882352941	-0.11764705882352941	-0.11764705882352941	-0.23529411764705882	0.058823529411764705	-0.35294117647058826	0.11764705882352941	-0.17647058823529413	-0.11764705882352941	-0.47058823529411764	-0.5294117647058824	-0.29411764705882354	-0.47058823529411764	-0.5294117647058824	-0.35294117647058826	-0.23529411764705882	-0.17647058823529413	-0.4117647058823529	-0.11764705882352941	-0.17647058823529413	-0.17647058823529413	-0.47058823529411764	0.17647058823529413	-0.29411764705882354	-0.23529411764705882	0.0	-0.35294117647058826	-0.35294117647058826	-0.7647058823529411	-0.8235294117647058
Lung adenocarcinoma	36	-0.25	0.4166666666666667	-0.08333333333333333	-0.1388888888888889	-0.5555555555555556	-0.2222222222222222	-0.3611111111111111	-0.4444444444444444	0.1388888888888889	-0.3333333333333333	-0.027777777777777776	-0.4444444444444444	0.1388888888888889	-0.1111111111111111	-0.5	0.1111111111111111	-0.5277777777777778	-0.4444444444444444	-0.3055555555555556	-0.4722222222222222	-0.25	-0.19444444444444445	-0.16666666666666666	-0.2777777777777778	-0.3888888888888889	-0.25	-0.5	-0.25	-0.4444444444444444	-0.5277777777777778	0.0	-0.2777777777777778	-0.4166666666666667	-0.75	-0.5	-0.25	-0.027777777777777776	-0.3611111111111111	-0.5277777777777778	-0.6388888888888888	-0.6388888888888888
Lung squamous cell carcinoma	47	-0.7659574468085106	-0.0425531914893617	-0.14893617021276595	-0.574468085106383	-0.9574468085106383	0.40425531914893614	-0.7446808510638298	-0.851063829787234	0.3617021276595745	-0.8936170212765957	-0.5319148936170213	-0.5319148936170213	-0.3404255319148936	-0.2765957446808511	-0.8936170212765957	-0.06382978723404255	-0.6382978723404256	-0.6808510638297872	-0.6595744680851063	-0.7872340425531915	-0.6382978723404256	-0.5957446808510638	-0.1702127659574468	-0.46808510638297873	-0.8297872340425532	-0.6170212765957447	-0.5106382978723404	-0.574468085106383	-0.5957446808510638	-0.8085106382978723	-0.23404255319148937	-0.46808510638297873	-0.5531914893617021	-0.5106382978723404	-0.3829787234042553	-0.10638297872340426	-0.0851063829787234	-0.574468085106383	-0.1702127659574468	-0.8936170212765957	-0.851063829787234
Ovarian serous adenocarcinoma	110	-0.3090909090909091	0.00909090909090909	-0.19090909090909092	-0.3090909090909091	-0.5181818181818182	0.15454545454545454	-0.5818181818181818	-0.7818181818181819	0.10909090909090909	-0.5727272727272728	-0.20909090909090908	-0.6363636363636364	-0.4	-0.01818181818181818	-0.7181818181818181	0.045454545454545456	-0.5	-0.5727272727272728	-0.15454545454545454	-0.38181818181818183	-0.5727272727272728	-0.22727272727272727	-0.06363636363636363	-0.43636363636363634	-0.7272727272727273	-0.5363636363636364	-0.5818181818181818	-0.4909090909090909	-0.7909090909090909	-0.9090909090909091	-0.5727272727272728	-0.44545454545454544	-0.7	-0.5181818181818182	-0.509090909090909	-0.02727272727272727	0.11818181818181818	-0.44545454545454544	-0.7545454545454545	-0.7090909090909091	-0.6545454545454545
Pancreas carcinoma	218	-0.3577981651376147	0.21100917431192662	-0.1834862385321101	-0.08256880733944955	-0.5229357798165137	-0.11009174311926606	-0.3623853211009174	-0.3761467889908257	-0.08256880733944955	-0.2981651376146789	-0.3944954128440367	-0.6146788990825688	0.0963302752293578	-0.07339449541284404	-0.5504587155963303	0.05045871559633028	-0.7110091743119266	-0.3669724770642202	-0.3577981651376147	-0.3119266055045872	-0.22477064220183487	-0.21559633027522937	-0.1834862385321101	-0.3440366972477064	-0.10550458715596331	-0.2706422018348624	-0.3394495412844037	-0.14220183486238533	-0.11467889908256881	-0.8532110091743119	-0.22935779816513763	-0.12844036697247707	-0.8944954128440367	-0.3761467889908257	-0.11926605504587157	-0.2018348623853211	0.10550458715596331	-0.45871559633027525	-0.43119266055045874	-0.6880733944954128	-0.6559633027522935
Pancreas neuroendocrine	79	-0.6075949367088608	-0.5443037974683544	-0.5443037974683544	-0.5822784810126582	-0.5949367088607594	-0.5949367088607594	-0.16455696202531644	-0.189873417721519	-0.012658227848101266	-0.0379746835443038	-0.6329113924050633	-0.6708860759493671	-0.0379746835443038	-0.0759493670886076	-0.45569620253164556	-0.45569620253164556	-0.26582278481012656	-0.20253164556962025	-0.5822784810126582	-0.5949367088607594	-0.7974683544303798	-0.7974683544303798	-0.17721518987341772	-0.1518987341772152	-0.16455696202531644	-0.10126582278481013	-0.4810126582278481	-0.5822784810126582	-0.6075949367088608	-0.26582278481012656	-0.20253164556962025	-0.27848101265822783	-0.2911392405063291	-0.08860759493670886	-0.0759493670886076	-0.13924050632911392	-0.16455696202531644	-0.45569620253164556	-0.620253164556962	-0.8354430379746836	-0.8481012658227848
Prostate carcinoma	153	-0.0196078431372549	0.0196078431372549	0.0	-0.006535947712418301	0.013071895424836602	0.0457516339869281	-0.032679738562091505	-0.013071895424836602	0.013071895424836602	-0.0392156862745098	-0.006535947712418301	-0.09803921568627451	0.08496732026143791	0.058823529411764705	-0.41830065359477125	0.12418300653594772	-0.006535947712418301	0.032679738562091505	-0.058823529411764705	-0.0392156862745098	-0.013071895424836602	-0.013071895424836602	-0.0718954248366013	0.0	-0.1503267973856209	-0.006535947712418301	-0.006535947712418301	0.0196078431372549	-0.11764705882352941	-0.1111111111111111	0.0	-0.0784313725490196	-0.13071895424836602	-0.0392156862745098	-0.026143790849673203	-0.013071895424836602	0.0196078431372549	-0.032679738562091505	-0.0392156862745098	-0.9869281045751634	-1.0
Skin melanoma	104	-0.2692307692307692	0.11538461538461539	-0.23076923076923078	-0.21153846153846154	-0.23076923076923078	-0.2692307692307692	-0.25961538461538464	-0.34615384615384615	-0.34615384615384615	-0.375	0.28846153846153844	-0.6442307692307693	0.17307692307692307	0.2403846153846154	-0.3557692307692308	0.25961538461538464	-0.6442307692307693	-0.5096153846153846	-0.6538461538461539	-0.7692307692307693	-0.375	-0.5096153846153846	-0.2403846153846154	-0.3942307692307692	-0.17307692307692307	-0.4423076923076923	-0.3076923076923077	-0.375	-0.5	-0.5865384615384616	-0.3173076923076923	-0.21153846153846154	-0.2403846153846154	-0.5384615384615384	-0.3557692307692308	0.08653846153846154	0.28846153846153844	-0.25961538461538464	-0.08653846153846154	-0.875	-0.8846153846153846
Stomach carcinoma	55	-0.38181818181818183	0.0	-0.16363636363636364	-0.23636363636363636	-0.45454545454545453	-0.16363636363636364	-0.5454545454545454	-0.5636363636363636	-0.09090909090909091	-0.5454545454545454	-0.23636363636363636	-0.2909090909090909	0.18181818181818182	-0.05454545454545454	-0.32727272727272727	0.34545454545454546	-0.41818181818181815	-0.2909090909090909	-0.2727272727272727	-0.3090909090909091	-0.4	-0.3090909090909091	-0.2909090909090909	-0.34545454545454546	-0.03636363636363636	-0.4909090909090909	-0.32727272727272727	-0.2545454545454545	-0.38181818181818183	-0.5818181818181818	-0.23636363636363636	-0.21818181818181817	-0.6	-0.5636363636363636	-0.2545454545454545	0.2	0.5818181818181818	-0.43636363636363634	-0.43636363636363634	-0.7272727272727273	-0.7090909090909091
Thyroid carcinoma	44	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.022727272727272728	0.0	0.0	0.022727272727272728	0.022727272727272728	0.0	0.022727272727272728	-0.022727272727272728	-0.06818181818181818	0.0	-0.022727272727272728	-0.022727272727272728	-0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.022727272727272728	-0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.022727272727272728	0.0	-0.045454545454545456	-0.2727272727272727	-0.2727272727272727
Upper respiratory tract carcinoma	50	-0.26	-0.24	-0.26	-0.38	-0.66	0.2	-0.38	-0.44	0.16	-0.44	-0.28	-0.4	0.06	-0.34	-0.32	0.32	-0.26	-0.22	-0.42	-0.44	-0.3	-0.6	-0.14	-0.34	-0.46	-0.1	-0.24	-0.24	-0.32	-0.34	-0.24	-0.16	-0.44	-0.4	-0.34	-0.04	0.02	-0.44	-0.2	-0.94	-0.88
Uterus carcinoma	42	-0.23809523809523808	0.21428571428571427	0.0	-0.09523809523809523	-0.2857142857142857	0.19047619047619047	-0.30952380952380953	-0.35714285714285715	0.11904761904761904	-0.2857142857142857	-0.09523809523809523	-0.07142857142857142	-0.21428571428571427	-0.19047619047619047	-0.38095238095238093	0.11904761904761904	-0.30952380952380953	-0.5238095238095238	-0.2857142857142857	-0.21428571428571427	-0.35714285714285715	-0.30952380952380953	-0.11904761904761904	-0.19047619047619047	-0.30952380952380953	-0.35714285714285715	-0.5238095238095238	-0.3333333333333333	-0.6428571428571429	-0.6190476190476191	-0.35714285714285715	-0.19047619047619047	-0.30952380952380953	-0.21428571428571427	-0.2619047619047619	-0.09523809523809523	0.11904761904761904	-0.3333333333333333	-0.3333333333333333	-0.3333333333333333	-0.35714285714285715
